quant-1  | ALLOCATOR SKIP BILL/USDT: strategy_threshold trend_ok=True momentum_ok=True long_trend_ok=True one_tick_ok=False trend=0.00280 momentum=0.00023 one_tick=0.00000 signal=0.00303
quant-1  | ORDERS: []
quant-1  | [EXPECTANCY_PATCH] before=0 after=0 exits=0
quant-1  | [EXPECTANCY_PATCH] before=0 after=0 exits=0
quant-1  | [EXECUTION_STAGE] handoff raw_orders=0 proposed_fills=0 symbols=[]
quant-1  | [EXECUTION_STAGE] begin_apply proposed_fills=0
quant-1  | [EXECUTION_STAGE] final_applied_fills=0
quant-1  | {'regime': 'SIDEWAYS', 'equity': 99.88, 'cash': 96.36, 'exposure': 3.52, 'exposure_pct': 0.0353, 'positions': {'XMR/USDT': 0.004311, 'ETHFI/USDT': 5.775967}, 'orders': 0, 'rejected': [], 'status': 'ok', 'paused': False, 'risk_status': 'SAFE', 'shadow_positions': {}}
quant-1  | 
quant-1  | ========================================================================
quant-1  | QUANT FUND OS ├óΓé¼ΓÇ¥ CYCLE DIAGNOSTIC
quant-1  | Time: 2026-06-04T04:43:11.720380Z
quant-1  | Market symbols: 59
quant-1  | Feature symbols: 59
quant-1  | Orders/applied fills: 0
quant-1  | Empty feature cycles: 0
quant-1  | No-trade reason: features_exist_but_no_orders
quant-1  | Note: main_loop_after_execution
quant-1  | Top features/signals:
quant-1  |   UBOX/USDT | source=NORMAL direction=None strength=0.052 momentum=0.05198
quant-1  |   PLAY/USDT | source=NORMAL direction=None strength=0.0038 momentum=0.00101
quant-1  |   BILL/USDT | source=NORMAL direction=None strength=0.0027 momentum=0.0
quant-1  |   ONDO/USDT | source=NORMAL direction=None strength=0.0016 momentum=0.00153
quant-1  |   BSB/USDT | source=NORMAL direction=None strength=0.0015 momentum=4e-05
quant-1  | ========================================================================
quant-1  | 
quant-1  | [ACTIVE_POSITION_WATCHDOG] closing symbol=XMR/USDT reason=sideways_max_hold_exit qty=0.00431100 mark=362.79000000 pnl=-0.023797
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=XMR/USDT side=sell qty=0.00431100195215211 error=OperationalError('cannot start a transaction within a transaction') source=active_position_watchdog
quant-1  | [ACTIVE_POSITION_WATCHDOG] error=cannot start a transaction within a transaction
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=XMR/USDT reason=default_sideways signal=0.000000 breakout=0.000000 trend_quality=0.000000 momentum=0.000000 one_tick=0.000193 regime=SYMBOL_NEUTRAL
quant-1  | [PROFIT_ENGINE] track symbol=XMR/USDT class=SIDEWAYS_SCALP ret=-1.4987% unreal=-0.023797 peak=0.006521 age_min=472.9
quant-1  | [PROFIT_ENGINE] selling symbol=XMR/USDT reason=sideways_scalp_stop_loss qty=0.00431100 mark=362.79000000 pnl=-0.023797
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=XMR/USDT side=sell qty=0.00431100195215211 error=OperationalError('cannot start a transaction within a transaction') source=profit_engine
quant-1  | [PROFIT_ENGINE] error=cannot start a transaction within a transaction
quant-1  | [PORTFOLIO_RECONCILER] synced equity=99.8830 cash=96.3604 exposure=3.5226 realized=-0.0603 unrealized=-0.0567 drawdown=-0.1170% regime=SIDEWAYS
quant-1  | [ACTIVE_POSITION_WATCHDOG] closing symbol=XMR/USDT reason=sideways_max_hold_exit qty=0.00431100 mark=362.79000000 pnl=-0.023797
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=XMR/USDT side=sell qty=0.00431100195215211 error=OperationalError('cannot start a transaction within a transaction') source=active_position_watchdog
quant-1  | [ACTIVE_POSITION_WATCHDOG] error=cannot start a transaction within a transaction
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=XMR/USDT reason=default_sideways signal=0.000000 breakout=0.000000 trend_quality=0.000000 momentum=0.000000 one_tick=0.000193 regime=SYMBOL_NEUTRAL
quant-1  | [PROFIT_ENGINE] track symbol=XMR/USDT class=SIDEWAYS_SCALP ret=-1.4987% unreal=-0.023797 peak=0.006521 age_min=473.0
quant-1  | [PROFIT_ENGINE] selling symbol=XMR/USDT reason=sideways_scalp_stop_loss qty=0.00431100 mark=362.79000000 pnl=-0.023797
quant-1  | [FILL_PERSISTENCE_ERROR] symbol=XMR/USDT side=sell qty=0.00431100195215211 error=OperationalError('cannot start a transaction within a transaction') source=profit_engine
quant-1  | [PROFIT_ENGINE] error=cannot start a transaction within a transaction
quant-1  | MARKET DATA REJECT invalid MOGU/USDT: 2.99e-09
quant-1  | MARKET TICK DATA RAW: {'BTC/USDT': 64397.24, 'ETH/USDT': 1806.86, 'SOL/USDT': 71.01, 'USDC/USDT': 1.00068, 'XRP/USDT': 1.2049, 'DOGE/USDT': 0.091, 'BNB/USDT': 616.43, 'TRIA/USDT': 0.03119, 'TRX/USDT': 0.3328, 'BSB/USDT': 0.2312, 'ADA/USDT': 0.1996, 'USD1/USDT': 0.9995, 'INJ/USDT': 6.266, 'SUI/USDT': 0.8094, 'LTC/USDT': 46.57, 'HYPE/USDT': 73.89, 'BCH/USDT': 246.9, 'ZEC/USDT': 601.3, 'GOLD(PAXG)/USDT': 4476.04, 'FIL/USDT': 0.8846, 'TAO/USDT': 222.68, 'DOT/USDT': 1.075, 'TON/USDT': 1.783, 'TRUMP/USDT': 1.887, 'BILL/USDT': 0.08709, 'NEAR/USDT': 2.6611, 'BEAT/USDT': 1.3495, 'ULTIMA/USDT': 2334.98, 'MX/USDT': 1.7547, 'GUA/USDT': 0.98394, 'ONDO/USDT': 0.39331, 'ASTER/USDT': 0.68, 'EDEN/USDT': 0.04564, 'EUR/USDT': 1.1617, 'ETHFI/USDT': 0.34, 'GENIUS/USDT': 0.47572, 'RAIN/USDT': 0.0142872, 'XMR/USDT': 362.77, 'UBOX/USDT': 0.002388, 'LINK/USDT': 8.243, 'DASH/USDT': 37.13, 'SHIB/USDT': 5.12e-06, 'PLAY/USDT': 0.09904, 'AVAX/USDT': 8.01, 'PENGU/USDT': 0.007001, 'WXT/USDT': 0.016551, 'ATOM/USDT': 1.836, 'IN/USDT': 0.10981, 'TTN/USDT': 0.05044, 'ATLA/USDT': 193.521, 'PENDLE/USDT': 1.329, 'AIXDROP/USDT': 0.00022275, 'SENS/USDT': 0.00539, 'TIA/USDT': 0.3553, 'BDX/USDT': 0.07875, '9BIT/USDT': 0.046893, 'JGGL/USDT': 1.943, 'CAKE/USDT': 1.26, 'BOB/USDT': 0.006505}
quant-1  | MARKET TICK DATA VALIDATED: {'BTC/USDT': 64397.24, 'ETH/USDT': 1806.86, 'SOL/USDT': 71.01, 'USDC/USDT': 1.00068, 'XRP/USDT': 1.2049, 'DOGE/USDT': 0.091, 'BNB/USDT': 616.43, 'TRIA/USDT': 0.03119, 'TRX/USDT': 0.3328, 'BSB/USDT': 0.2312, 'ADA/USDT': 0.1996, 'USD1/USDT': 0.9995, 'INJ/USDT': 6.266, 'SUI/USDT': 0.8094, 'LTC/USDT': 46.57, 'HYPE/USDT': 73.89, 'BCH/USDT': 246.9, 'ZEC/USDT': 601.3, 'GOLD(PAXG)/USDT': 4476.04, 'FIL/USDT': 0.8846, 'TAO/USDT': 222.68, 'DOT/USDT': 1.075, 'TON/USDT': 1.783, 'TRUMP/USDT': 1.887, 'BILL/USDT': 0.08709, 'NEAR/USDT': 2.6611, 'BEAT/USDT': 1.3495, 'ULTIMA/USDT': 2334.98, 'MX/USDT': 1.7547, 'GUA/USDT': 0.98394, 'ONDO/USDT': 0.39331, 'ASTER/USDT': 0.68, 'EDEN/USDT': 0.04564, 'EUR/USDT': 1.1617, 'ETHFI/USDT': 0.34, 'GENIUS/USDT': 0.47572, 'RAIN/USDT': 0.0142872, 'XMR/USDT': 362.77, 'UBOX/USDT': 0.002388, 'LINK/USDT': 8.243, 'DASH/USDT': 37.13, 'SHIB/USDT': 5.12e-06, 'PLAY/USDT': 0.09904, 'AVAX/USDT': 8.01, 'PENGU/USDT': 0.007001, 'WXT/USDT': 0.016551, 'ATOM/USDT': 1.836, 'IN/USDT': 0.10981, 'TTN/USDT': 0.05044, 'ATLA/USDT': 193.521, 'PENDLE/USDT': 1.329, 'AIXDROP/USDT': 0.00022275, 'SENS/USDT': 0.00539, 'TIA/USDT': 0.3553, 'BDX/USDT': 0.07875, '9BIT/USDT': 0.046893, 'JGGL/USDT': 1.943, 'CAKE/USDT': 1.26, 'BOB/USDT': 0.006505}
quant-1  | [POLICY_V2] feature_snapshot_upserted count=59
quant-1  | STRATEGY SCORE DEBUG: {'ready_features': 708, 'normal_features': 708, 'top_score': 0.7484, 'top_matches': 10, 'top_strategy': 'evo_9438'}
quant-1  | ALLOCATOR BEST: strategy=evo_9438 score=0.7484 matches=10 db=/app/data/quant.db
quant-1  | ALLOCATOR SKIP UBOX/USDT: strict_filter trend=-0.00900 momentum=0.05198 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=-0.00610 momentum=0.00372 one_tick=0.00372
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | ENTRY QUALITY REJECTED: [{'symbol': 'BILL/USDT', 'reason': 'entry_quality_not_top_10'}]
quant-1  | [ALLOCATOR_RESCUE] skipped reason=hard_exposure_gate exposure_pct=0.0353
