quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=ETH/USDT reason=downtrend_or_choppy regime=SYMBOL_TREND_DOWN
quant-1  | MARKET TICK DATA VALIDATED: {'BTC/USDT': 65566.6, 'ETH/USDT': 1846.93, 'SOL/USDT': 72.81, 'USDC/USDT': 1.00103, 'XRP/USDT': 1.2167, 'DOGE/USDT': 0.09281, 'BNB/USDT': 628.51, 'TRIA/USDT': 0.03074, 'TRX/USDT': 0.3343, 'BSB/USDT': 0.26758, 'ADA/USDT': 0.2051, 'USD1/USDT': 0.99971, 'INJ/USDT': 6.668, 'SUI/USDT': 0.8388, 'LTC/USDT': 47.8, 'HYPE/USDT': 75.16, 'BCH/USDT': 246.4, 'ZEC/USDT': 626.09, 'GOLD(PAXG)/USDT': 4432.5, 'FIL/USDT': 0.9451, 'TAO/USDT': 230.0, 'DOT/USDT': 1.117, 'TON/USDT': 1.922, 'TRUMP/USDT': 2.002, 'BILL/USDT': 0.08755, 'NEAR/USDT': 2.8797, 'BEAT/USDT': 1.32507, 'ULTIMA/USDT': 2343.24, 'MX/USDT': 1.7631, 'GUA/USDT': 1.09077, 'ONDO/USDT': 0.42425, 'ASTER/USDT': 0.6935, 'EDEN/USDT': 0.05071, 'EUR/USDT': 1.1607, 'ETHFI/USDT': 0.3702, 'GENIUS/USDT': 0.498, 'RAIN/USDT': 0.0144356, 'XMR/USDT': 361.15, 'UBOX/USDT': 0.0027, 'LINK/USDT': 8.417, 'DASH/USDT': 39.79, 'SHIB/USDT': 5.259e-06, 'PLAY/USDT': 0.09541, 'AVAX/USDT': 8.152, 'PENGU/USDT': 0.0072, 'WXT/USDT': 0.016827, 'ATOM/USDT': 1.885, 'IN/USDT': 0.11203, 'TTN/USDT': 0.05006, 'ATLA/USDT': 193.2518, 'PENDLE/USDT': 1.379, 'AIXDROP/USDT': 0.00022922, 'SENS/USDT': 0.0052, 'TIA/USDT': 0.3778, 'BDX/USDT': 0.07867, '9BIT/USDT': 0.050176, 'JGGL/USDT': 1.9861, 'CAKE/USDT': 1.302, 'BOB/USDT': 0.006667}
quant-1  | [POLICY_V2] feature_snapshot_upserted count=59
quant-1  | STRATEGY SCORE DEBUG: {'ready_features': 708, 'normal_features': 708, 'top_score': 0.7288, 'top_matches': 1, 'top_strategy': 'evo_1602'}
quant-1  | ALLOCATOR BEST: strategy=evo_1602 score=0.7288 matches=1 db=/app/data/quant.db
quant-1  | ALLOCATOR SKIP UBOX/USDT: strict_filter trend=0.00559 momentum=-0.03571 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BEAT/USDT: symbol_quarantined
quant-1  | ALLOCATOR SKIP ONDO/USDT: cooldown
quant-1  | ALLOCATOR SKIP IN/USDT: cooldown
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=-0.00109 momentum=0.00323 one_tick=0.00024
quant-1  | ALLOCATOR SKIP HYPE/USDT: strategy_threshold trend_ok=True momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00198 momentum=0.00093 one_tick=0.00147 signal=0.00316
quant-1  | ALLOCATOR SKIP ETH/USDT: already_holding
quant-1  | ALLOCATOR SKIP ATLA/USDT: symbol_quarantined
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00104 momentum=0.00234 one_tick=-0.00008
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00134 momentum=0.00151 one_tick=0.00027
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00380 momentum=-0.00243 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=-0.00304 momentum=0.00098 one_tick=0.00049
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00015 momentum=0.00161 one_tick=0.00055
quant-1  | ALLOCATOR SKIP XMR/USDT: cooldown
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=0.00004 momentum=-0.00446 one_tick=-0.00294
quant-1  | ALLOCATOR SKIP TIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP ZEC/USDT: symbol_quarantined
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=-0.00140 momentum=0.00156 one_tick=0.00115
quant-1  | ALLOCATOR SKIP TRIA/USDT: strict_filter trend=0.00099 momentum=-0.00162 one_tick=-0.00162
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00502 momentum=-0.00126 one_tick=-0.00105
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00084 momentum=0.00130 one_tick=0.00043
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00065 momentum=0.00089 one_tick=0.00030
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00222 momentum=0.00061 one_tick=0.00098
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=-0.00272 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DOGE/USDT: strict_filter trend=-0.00178 momentum=0.00086 one_tick=0.00032
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00275 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00378 momentum=0.00000 one_tick=-0.00042
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00240 momentum=0.00107 one_tick=0.00095
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00163 momentum=0.00102 one_tick=0.00102
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=0.00096 momentum=-0.00061 one_tick=-0.00083
quant-1  | ALLOCATOR SKIP GENIUS/USDT: already_holding
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00090 momentum=-0.00106 one_tick=-0.00053
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00311 momentum=0.00073 one_tick=0.00145
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00080 momentum=-0.00165 one_tick=-0.00060
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00189 momentum=-0.00057 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00228 momentum=0.00000 one_tick=0.00090
quant-1  | ALLOCATOR SKIP CAKE/USDT: strict_filter trend=-0.00130 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=-0.00115 momentum=0.00008 one_tick=0.00033
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00219 momentum=0.00050 one_tick=0.00150
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=0.00049 momentum=-0.00040 one_tick=0.00000
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00218 momentum=0.00000 one_tick=0.00063
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00032 momentum=0.00020 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00346 momentum=-0.00075 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=0.00004 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00007 momentum=0.00013 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: strict_filter trend=-0.00063 momentum=-0.00010 one_tick=-0.00012
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00419 momentum=-0.00236 one_tick=-0.00069
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=0.00002 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=0.00001 momentum=0.00000 one_tick=-0.00001
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=0.00000 momentum=-0.00001 one_tick=0.00000
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=-0.00288 momentum=-0.00120 one_tick=0.00045
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=-0.00267 momentum=-0.00052 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=-0.00153 momentum=0.00000 one_tick=-0.00046
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00795 momentum=-0.00350 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=-0.00141 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP EDEN/USDT: already_holding
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=-0.00008 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=-0.01541 momentum=-0.02256 one_tick=0.00000
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00039 momentum=-0.00106 one_tick=0.00036
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=ZEC/USDT reason=profit_giveback_exit
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=BEAT/USDT reason=profit_giveback_exit
quant-1  | [BIG_LOSS_COOLDOWN] entry rejected symbol=ATLA/USDT reason=sideways_scalp_stop_loss
quant-1  | [QUALITY_RANK] top-1: HYPE/USDT(qs=0.0069,sig=0.0032)
quant-1  | ENTRY QUALITY TOP 10: [('HYPE/USDT', 0.00694, 0.0031559924169725084)]
quant-1  | [ALLOCATOR_RESCUE] skipped reason=hard_exposure_gate exposure_pct=0.0475
