quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=-0.00084 momentum=0.00041 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP XMR/USDT: strict_filter trend=-0.00238 momentum=-0.00183 one_tick=0.00008
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=-0.00229 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00138 momentum=0.00000 one_tick=-0.00020
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00266 momentum=-0.00676 one_tick=0.00000
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00196 momentum=-0.00038 one_tick=-0.00013
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00218 momentum=-0.00073 one_tick=-0.00015
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00108 momentum=-0.00006 one_tick=-0.00006
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00146 momentum=-0.00110 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00064 momentum=-0.00119 one_tick=-0.00119
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00037 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=-0.00099 momentum=-0.00057 one_tick=-0.00057
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00301 momentum=-0.00204 one_tick=-0.00204
quant-1  | [QUALITY_RANK] top-1: GUA/USDT(qs=0.0944,sig=0.0405)
quant-1  | ENTRY QUALITY TOP 10: [('GUA/USDT', 0.094424, 0.04049325753739941)]
