quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00177 momentum=-0.00141 one_tick=0.00028
quant-1  | ALLOCATOR SKIP ZEC/USDT: cooldown
quant-1  | ALLOCATOR SKIP DOT/USDT: strict_filter trend=-0.00238 momentum=0.00000 one_tick=-0.00095
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=-0.00286 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=-0.00174 momentum=-0.00015 one_tick=-0.00061
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=-0.00009 momentum=-0.00009 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00441 momentum=-0.00121 one_tick=-0.00151
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=-0.00216 momentum=-0.00011 one_tick=-0.00011
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=-0.00190 momentum=-0.00056 one_tick=-0.00141
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00158 momentum=-0.00060 one_tick=-0.00020
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.01907 momentum=-0.00052 one_tick=0.00042
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00207 momentum=-0.00051 one_tick=-0.00051
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00097 momentum=-0.00006 one_tick=-0.00037
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00514 momentum=-0.00072 one_tick=0.00109
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00039 momentum=-0.00251 one_tick=-0.00031
quant-1  | [QUALITY_RANK] top-1: XMR/USDT(qs=0.0211,sig=0.0085)
quant-1  | ENTRY QUALITY TOP 10: [('XMR/USDT', 0.021115, 0.008463766336154088)]
