quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00078 momentum=0.00036 one_tick=-0.00032
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=-0.00298 momentum=-0.00059 one_tick=-0.00148
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00072 momentum=-0.00059 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00409 momentum=-0.00317 one_tick=0.00000
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=-0.00165 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.02113 momentum=-0.00709 one_tick=0.00089
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00019 momentum=-0.00020 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00324 momentum=-0.00149 one_tick=0.00000
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00083 momentum=0.00000 one_tick=-0.00031
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00090 momentum=0.00000 one_tick=0.00000
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | ENTRY QUALITY REJECTED: [{'symbol': 'NEAR/USDT', 'reason': 'entry_quality_not_top_10'}]
quant-1  | [ALLOCATOR_RESCUE] selected symbol=GUA/USDT strategy=evo_allocator_rescue score=0.076403 signal=0.015714 breakout=0.015442 trend=-0.000119 momentum=0.015714 one_tick=0.008297 value=1.2499 confidence=0.950
quant-1  | [ALLOCATOR_RESCUE] injected_orders count=1
