quant-1  | [QFOS_RUNTIME_STATE_CLEANUP] symbol=ZEC/USDT reason=tombstone_rezero_stale_restored_position source=profit_engine cleared=none
quant-1  | MARKET DATA REJECT invalid MOGU/USDT: 2.67e-09
quant-1  | MARKET TICK DATA RAW: {'BTC/USDT': 63613.31, 'ETH/USDT': 1775.7, 'SOL/USDT': 69.49, 'USDC/USDT': 1.00065, 'XRP/USDT': 1.1743, 'DOGE/USDT': 0.08906, 'BNB/USDT': 601.35, 'TRIA/USDT': 0.03109, 'TRX/USDT': 0.3318, 'BSB/USDT': 0.23056, 'ADA/USDT': 0.196, 'USD1/USDT': 0.99968, 'INJ/USDT': 6.16, 'SUI/USDT': 0.789, 'LTC/USDT': 46.19, 'HYPE/USDT': 69.02, 'BCH/USDT': 243.0, 'ZEC/USDT': 571.73, 'GOLD(PAXG)/USDT': 4457.02, 'FIL/USDT': 0.855, 'TAO/USDT': 216.8, 'DOT/USDT': 1.051, 'TON/USDT': 1.735, 'TRUMP/USDT': 1.818, 'BILL/USDT': 0.08517, 'NEAR/USDT': 2.4128, 'BEAT/USDT': 1.40967, 'ULTIMA/USDT': 2332.2, 'MX/USDT': 1.7513, 'GUA/USDT': 0.93534, 'ONDO/USDT': 0.38338, 'ASTER/USDT': 0.659, 'EDEN/USDT': 0.04411, 'EUR/USDT': 1.1612, 'ETHFI/USDT': 0.3309, 'GENIUS/USDT': 0.46756, 'RAIN/USDT': 0.013887, 'XMR/USDT': 362.22, 'UBOX/USDT': 0.002769, 'LINK/USDT': 8.089, 'DASH/USDT': 35.5, 'SHIB/USDT': 5.011e-06, 'PLAY/USDT': 0.09801, 'AVAX/USDT': 7.842, 'PENGU/USDT': 0.006789, 'WXT/USDT': 0.016326, 'ATOM/USDT': 1.796, 'IN/USDT': 0.09984, 'TTN/USDT': 0.05001, 'ATLA/USDT': 181.7244, 'PENDLE/USDT': 1.329, 'AIXDROP/USDT': 0.00022056, 'SENS/USDT': 0.00581, 'TIA/USDT': 0.3438, 'BDX/USDT': 0.07882, '9BIT/USDT': 0.047079, 'JGGL/USDT': 1.9094, 'CAKE/USDT': 1.237, 'BOB/USDT': 0.006356}
quant-1  | MARKET TICK DATA VALIDATED: {'BTC/USDT': 63613.31, 'ETH/USDT': 1775.7, 'SOL/USDT': 69.49, 'USDC/USDT': 1.00065, 'XRP/USDT': 1.1743, 'DOGE/USDT': 0.08906, 'BNB/USDT': 601.35, 'TRIA/USDT': 0.03109, 'TRX/USDT': 0.3318, 'BSB/USDT': 0.23056, 'ADA/USDT': 0.196, 'USD1/USDT': 0.99968, 'INJ/USDT': 6.16, 'SUI/USDT': 0.789, 'LTC/USDT': 46.19, 'HYPE/USDT': 69.02, 'BCH/USDT': 243.0, 'ZEC/USDT': 571.73, 'GOLD(PAXG)/USDT': 4457.02, 'FIL/USDT': 0.855, 'TAO/USDT': 216.8, 'DOT/USDT': 1.051, 'TON/USDT': 1.735, 'TRUMP/USDT': 1.818, 'BILL/USDT': 0.08517, 'NEAR/USDT': 2.4128, 'BEAT/USDT': 1.40967, 'ULTIMA/USDT': 2332.2, 'MX/USDT': 1.7513, 'GUA/USDT': 0.93534, 'ONDO/USDT': 0.38338, 'ASTER/USDT': 0.659, 'EDEN/USDT': 0.04411, 'EUR/USDT': 1.1612, 'ETHFI/USDT': 0.3309, 'GENIUS/USDT': 0.46756, 'RAIN/USDT': 0.013887, 'XMR/USDT': 362.22, 'UBOX/USDT': 0.002769, 'LINK/USDT': 8.089, 'DASH/USDT': 35.5, 'SHIB/USDT': 5.011e-06, 'PLAY/USDT': 0.09801, 'AVAX/USDT': 7.842, 'PENGU/USDT': 0.006789, 'WXT/USDT': 0.016326, 'ATOM/USDT': 1.796, 'IN/USDT': 0.09984, 'TTN/USDT': 0.05001, 'ATLA/USDT': 181.7244, 'PENDLE/USDT': 1.329, 'AIXDROP/USDT': 0.00022056, 'SENS/USDT': 0.00581, 'TIA/USDT': 0.3438, 'BDX/USDT': 0.07882, '9BIT/USDT': 0.047079, 'JGGL/USDT': 1.9094, 'CAKE/USDT': 1.237, 'BOB/USDT': 0.006356}
quant-1  | [POLICY_V2] feature_snapshot_upserted count=59
quant-1  | STRATEGY SCORE DEBUG: {'ready_features': 708, 'normal_features': 708, 'top_score': 0.641, 'top_matches': 2, 'top_strategy': 'evo_3257'}
quant-1  | ALLOCATOR BEST: strategy=evo_3257 score=0.6410 matches=2 db=/app/data/quant.db
quant-1  | ALLOCATOR SKIP SENS/USDT: strict_filter trend=-0.01637 momentum=-0.01022 one_tick=-0.01022
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=0.00662 momentum=-0.00112 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATLA/USDT: strategy_threshold trend_ok=True momentum_ok=True long_trend_ok=False one_tick_ok=True trend=0.00273 momentum=0.00160 one_tick=0.00218 signal=0.00433
quant-1  | ALLOCATOR SKIP BILL/USDT: strict_filter trend=0.00285 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP HYPE/USDT: strategy_threshold trend_ok=True momentum_ok=True long_trend_ok=False one_tick_ok=False trend=0.00302 momentum=0.00072 one_tick=0.00000 signal=0.00374
quant-1  | ALLOCATOR SKIP XMR/USDT: strict_filter trend=0.00105 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP DOT/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=True one_tick_ok=True trend=0.00029 momentum=0.00191 one_tick=0.00095 signal=0.00219
quant-1  | ALLOCATOR SKIP ONDO/USDT: strict_filter trend=0.00159 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BEAT/USDT: cooldown
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00064 momentum=0.00130 one_tick=0.00130
quant-1  | ALLOCATOR SKIP ATOM/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=True one_tick_ok=False trend=0.00059 momentum=0.00056 one_tick=0.00000 signal=0.00114
quant-1  | ALLOCATOR SKIP ADA/USDT: strict_filter trend=0.00102 momentum=-0.00051 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BCH/USDT: strict_filter trend=0.00095 momentum=0.00000 one_tick=0.00082
quant-1  | ALLOCATOR SKIP LINK/USDT: strict_filter trend=0.00091 momentum=-0.00037 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=0.00085 momentum=-0.00088 one_tick=-0.00088
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=0.00041 momentum=-0.00075 one_tick=0.00075
quant-1  | ALLOCATOR SKIP 9BIT/USDT: strict_filter trend=-0.00003 momentum=0.00011 one_tick=0.00004
quant-1  | ALLOCATOR SKIP AVAX/USDT: strict_filter trend=0.00075 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BDX/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00011 momentum=0.00038 one_tick=0.00038 signal=0.00066
quant-1  | ALLOCATOR SKIP TAO/USDT: strict_filter trend=0.00061 momentum=-0.00184 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BNB/USDT: strict_filter trend=0.00059 momentum=-0.00017 one_tick=0.00032
quant-1  | ALLOCATOR SKIP ASTER/USDT: strict_filter trend=0.00059 momentum=0.00000 one_tick=0.00015
quant-1  | ALLOCATOR SKIP DASH/USDT: strict_filter trend=0.00054 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BOB/USDT: strategy_threshold trend_ok=False momentum_ok=True long_trend_ok=True one_tick_ok=True trend=0.00003 momentum=0.00047 one_tick=0.00047 signal=0.00050
quant-1  | ALLOCATOR SKIP ULTIMA/USDT: cooldown
quant-1  | ALLOCATOR SKIP TON/USDT: strict_filter trend=0.00049 momentum=-0.00230 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETH/USDT: strict_filter trend=-0.00016 momentum=0.00037 one_tick=0.00064
quant-1  | ALLOCATOR SKIP DOGE/USDT: strategy_threshold trend_ok=False momentum_ok=False long_trend_ok=True one_tick_ok=True trend=0.00024 momentum=0.00011 one_tick=0.00022 signal=0.00035
quant-1  | ALLOCATOR SKIP TRUMP/USDT: strict_filter trend=0.00033 momentum=-0.00165 one_tick=0.00000
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00014 momentum=0.00031 one_tick=0.00079
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=0.00026 momentum=-0.00058 one_tick=0.00087
quant-1  | ALLOCATOR SKIP GENIUS/USDT: strict_filter trend=-0.00055 momentum=-0.00032 one_tick=-0.00094
quant-1  | ALLOCATOR SKIP BSB/USDT: strict_filter trend=-0.00076 momentum=-0.00082 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SUI/USDT: strict_filter trend=0.00022 momentum=-0.00127 one_tick=-0.00038
quant-1  | ALLOCATOR SKIP XRP/USDT: strict_filter trend=0.00021 momentum=-0.00009 one_tick=0.00026
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00017 momentum=0.00020 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=0.00015 momentum=-0.00151 one_tick=0.00000
quant-1  | ALLOCATOR SKIP BTC/USDT: strict_filter trend=-0.00014 momentum=0.00010 one_tick=0.00047
quant-1  | ALLOCATOR SKIP CAKE/USDT: cooldown
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=-0.00074 momentum=0.00009 one_tick=0.00005
quant-1  | ALLOCATOR SKIP EUR/USDT: strict_filter trend=-0.00012 momentum=0.00009 one_tick=0.00009
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00036 momentum=0.00009 one_tick=0.00000
quant-1  | ALLOCATOR SKIP USDC/USDT: strict_filter trend=0.00001 momentum=0.00000 one_tick=0.00001
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=0.00000 momentum=-0.00001 one_tick=-0.00001
quant-1  | ALLOCATOR SKIP SOL/USDT: strict_filter trend=-0.00016 momentum=-0.00043 one_tick=0.00029
quant-1  | ALLOCATOR SKIP TRIA/USDT: cooldown
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=-0.00008 momentum=-0.00030 one_tick=0.00000
quant-1  | ALLOCATOR SKIP INJ/USDT: strict_filter trend=-0.00053 momentum=-0.00032 one_tick=0.00032
quant-1  | ALLOCATOR SKIP LTC/USDT: strict_filter trend=-0.00019 momentum=-0.00043 one_tick=0.00022
quant-1  | ALLOCATOR SKIP ZEC/USDT: cooldown
quant-1  | ALLOCATOR SKIP FIL/USDT: strict_filter trend=-0.00053 momentum=-0.00012 one_tick=0.00000
quant-1  | ALLOCATOR SKIP NEAR/USDT: strict_filter trend=-0.00165 momentum=-0.00277 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=-0.00007 momentum=-0.00006 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GUA/USDT: strict_filter trend=-0.01151 momentum=-0.00270 one_tick=-0.00270
quant-1  | ALLOCATOR SKIP EDEN/USDT: strict_filter trend=-0.00254 momentum=-0.00226 one_tick=0.00000
quant-1  | ALLOCATOR SKIP RAIN/USDT: strict_filter trend=-0.00149 momentum=-0.00471 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP UBOX/USDT: strict_filter trend=-0.00011 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP SHIB/USDT: strict_filter trend=-0.00007 momentum=-0.00060 one_tick=0.00040
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00003 momentum=-0.00080 one_tick=0.00006
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | [ALLOCATOR_RESCUE] selected symbol=ATLA/USDT strategy=evo_allocator_rescue score=0.023869 signal=0.004332 breakout=0.004397 trend=0.002732 momentum=0.001600 one_tick=0.002183 value=1.2498 confidence=0.946
quant-1  | [ALLOCATOR_RESCUE] injected_orders count=1
