quant-1  | ALLOCATOR SKIP ETHFI/USDT: strict_filter trend=0.00079 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP GOLD(PAXG)/USDT: strict_filter trend=-0.00030 momentum=0.00007 one_tick=0.00017
quant-1  | ALLOCATOR SKIP MX/USDT: strict_filter trend=0.00003 momentum=0.00000 one_tick=-0.00006
quant-1  | ALLOCATOR SKIP AIXDROP/USDT: strict_filter trend=-0.00056 momentum=-0.00095 one_tick=-0.00032
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=0.00002 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TRX/USDT: strict_filter trend=-0.00003 momentum=0.00000 one_tick=-0.00030
quant-1  | ALLOCATOR SKIP USD1/USDT: strict_filter trend=-0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP MOGU/USDT: strict_filter trend=0.00000 momentum=0.00000 one_tick=0.00000
quant-1  | ALLOCATOR SKIP PLAY/USDT: strict_filter trend=-0.00059 momentum=-0.00080 one_tick=0.00000
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00005 momentum=0.00000 one_tick=0.00000
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | ENTRY QUALITY REJECTED: [{'symbol': 'UBOX/USDT', 'reason': 'entry_quality_not_top_10'}]
quant-1  | [ALLOCATOR_RESCUE] selected symbol=EDEN/USDT strategy=evo_allocator_rescue score=0.026564 signal=0.005632 breakout=0.005223 trend=0.003615 momentum=0.001327 one_tick=0.000000 value=1.2498 confidence=0.950
quant-1  | [ALLOCATOR_RESCUE] injected_orders count=1
