quant-1  | ALLOCATOR SKIP CAKE/USDT: already_holding
quant-1  | ALLOCATOR SKIP PENGU/USDT: strict_filter trend=-0.00305 momentum=-0.00362 one_tick=-0.00102
quant-1  | ALLOCATOR SKIP WXT/USDT: strict_filter trend=-0.00154 momentum=-0.00109 one_tick=-0.00018
quant-1  | ALLOCATOR SKIP ATOM/USDT: strict_filter trend=-0.00176 momentum=-0.00055 one_tick=0.00055
quant-1  | ALLOCATOR SKIP IN/USDT: strict_filter trend=-0.00365 momentum=-0.00766 one_tick=-0.00389
quant-1  | ALLOCATOR SKIP TTN/USDT: strict_filter trend=-0.00036 momentum=-0.00020 one_tick=0.00000
quant-1  | ALLOCATOR SKIP ATLA/USDT: strict_filter trend=-0.00800 momentum=-0.00683 one_tick=0.00129
quant-1  | ALLOCATOR SKIP PENDLE/USDT: strict_filter trend=-0.00085 momentum=-0.00148 one_tick=-0.00074
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=TRIA/USDT reason=default_sideways signal=0.003705 breakout=0.003424 trend_quality=0.000000 momentum=-0.001590 one_tick=0.000319 regime=SYMBOL_NEUTRAL
quant-1  | ALLOCATOR SKIP TIA/USDT: strict_filter trend=-0.00183 momentum=-0.00256 one_tick=-0.00142
quant-1  | [PROFIT_ENGINE] track symbol=TRIA/USDT class=SIDEWAYS_SCALP ret=0.1592% unreal=0.001994 peak=0.001994 age_min=0.0
quant-1  | [POLICY_V2] class SIDEWAYS_SCALP symbol=CAKE/USDT reason=default_sideways signal=0.001325 breakout=0.001056 trend_quality=0.000000 momentum=-0.003200 one_tick=0.000000 regime=SYMBOL_NEUTRAL
quant-1  | [PROFIT_ENGINE] track symbol=CAKE/USDT class=SIDEWAYS_SCALP ret=-0.1603% unreal=-0.002003 peak=0.002003 age_min=0.0
quant-1  | ALLOCATOR SKIP BDX/USDT: strict_filter trend=-0.00218 momentum=-0.00127 one_tick=0.00025
quant-1  | ALLOCATOR SKIP JGGL/USDT: strict_filter trend=-0.00164 momentum=-0.00171 one_tick=-0.00047
quant-1  | ALLOCATOR SKIP BOB/USDT: strict_filter trend=-0.00074 momentum=-0.00047 one_tick=0.00000
quant-1  | [QUALITY_RANK] top-0: 
quant-1  | ENTRY QUALITY TOP 10: []
quant-1  | [ALLOCATOR_RESCUE] selected symbol=BEAT/USDT strategy=evo_allocator_rescue score=0.021215 signal=0.004417 breakout=0.003520 trend=0.001759 momentum=0.002658 one_tick=0.000000 value=1.2499 confidence=0.915
quant-1  | [ALLOCATOR_RESCUE] injected_orders count=1
